model,best_params,cv_best_rmse,test_rmse,test_mae,test_r2
Lasso,"{""model__alpha"": 0.018329807108324356}",4.864578715949852,4.9378732956170746,3.1774440722535595,0.6675121392515262
Ridge,"{""model__alpha"": 5.623413251903491}",4.858272950804528,4.940765410164869,3.176996906662265,0.6671225486224579
ElasticNet,"{""model__alpha"": 0.018329807108324356, ""model__l1_ratio"": 0.1}",4.858565140383223,4.94384624411706,3.174550871967877,0.6667072850716581
